1:EVR:<NEW_CLASS(java.lang.StringBuffer)>:<DEFAULT>:org.apache.tools.ant.types.selectors.SelectSelector@toString():51:new StringBuffer() |==> null
2:COR:hasSelectors():TRUE:org.apache.tools.ant.types.selectors.SelectSelector@toString():52:hasSelectors() |==> false
3:COR:hasSelectors():FALSE:org.apache.tools.ant.types.selectors.SelectSelector@toString():52:hasSelectors() |==> true
4:STD:<CALL>:<NO-OP>:org.apache.tools.ant.types.selectors.SelectSelector@toString():53:buf.append("{select") |==> <NO-OP>
5:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):org.apache.tools.ant.types.selectors.SelectSelector@toString():54:ifProperty != null |==> true
6:STD:<CALL>:<NO-OP>:org.apache.tools.ant.types.selectors.SelectSelector@toString():55:buf.append(" if: ") |==> <NO-OP>
7:STD:<CALL>:<NO-OP>:org.apache.tools.ant.types.selectors.SelectSelector@toString():56:buf.append(ifProperty) |==> <NO-OP>
8:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):org.apache.tools.ant.types.selectors.SelectSelector@toString():58:unlessProperty != null |==> true
9:STD:<CALL>:<NO-OP>:org.apache.tools.ant.types.selectors.SelectSelector@toString():59:buf.append(" unless: ") |==> <NO-OP>
10:STD:<CALL>:<NO-OP>:org.apache.tools.ant.types.selectors.SelectSelector@toString():60:buf.append(unlessProperty) |==> <NO-OP>
11:STD:<CALL>:<NO-OP>:org.apache.tools.ant.types.selectors.SelectSelector@toString():62:buf.append(" ") |==> <NO-OP>
12:STD:<CALL>:<NO-OP>:org.apache.tools.ant.types.selectors.SelectSelector@toString():63:buf.append(super.toString()) |==> <NO-OP>
13:STD:<CALL>:<NO-OP>:org.apache.tools.ant.types.selectors.SelectSelector@toString():64:buf.append("}") |==> <NO-OP>
