1:EVR:<NEW_CLASS(javax.swing.JPanel)>:<DEFAULT>:org.gjt.sp.jedit.gui.LogViewer@<init>():44:new JPanel() |==> null
2:STD:<CALL>:<NO-OP>:org.gjt.sp.jedit.gui.LogViewer@<init>():45:caption.setLayout(new BoxLayout(caption, BoxLayout.X_AXIS)) |==> <NO-OP>
3:LVR:POS:0:org.gjt.sp.jedit.gui.LogViewer@<init>():46:6 |==> 0
4:LVR:POS:NEG:org.gjt.sp.jedit.gui.LogViewer@<init>():46:6 |==> -6
5:LVR:POS:0:org.gjt.sp.jedit.gui.LogViewer@<init>():46:6 |==> 0
6:LVR:POS:NEG:org.gjt.sp.jedit.gui.LogViewer@<init>():46:6 |==> -6
7:LVR:POS:0:org.gjt.sp.jedit.gui.LogViewer@<init>():46:6 |==> 0
8:LVR:POS:NEG:org.gjt.sp.jedit.gui.LogViewer@<init>():46:6 |==> -6
9:LVR:POS:0:org.gjt.sp.jedit.gui.LogViewer@<init>():46:6 |==> 0
10:LVR:POS:NEG:org.gjt.sp.jedit.gui.LogViewer@<init>():46:6 |==> -6
11:STD:<CALL>:<NO-OP>:org.gjt.sp.jedit.gui.LogViewer@<init>():46:caption.setBorder(new EmptyBorder(6, 6, 6, 6)) |==> <NO-OP>
