1:ROR:!=(int,int):<(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):77:mode != FIXED_NUM_ROWS |==> mode < FIXED_NUM_ROWS
2:ROR:!=(int,int):>(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):77:mode != FIXED_NUM_ROWS |==> mode > FIXED_NUM_ROWS
3:ROR:!=(int,int):TRUE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):77:mode != FIXED_NUM_ROWS |==> true
4:ROR:!=(int,int):<(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):77:mode != FIXED_NUM_COLUMNS |==> mode < FIXED_NUM_COLUMNS
5:ROR:!=(int,int):>(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):77:mode != FIXED_NUM_COLUMNS |==> mode > FIXED_NUM_COLUMNS
6:ROR:!=(int,int):TRUE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):77:mode != FIXED_NUM_COLUMNS |==> true
7:COR:&&(boolean,boolean):==(boolean,boolean):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):77:mode != FIXED_NUM_ROWS && mode != FIXED_NUM_COLUMNS |==> mode != FIXED_NUM_ROWS == (mode != FIXED_NUM_COLUMNS)
8:COR:&&(boolean,boolean):FALSE(boolean,boolean):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):77:mode != FIXED_NUM_ROWS && mode != FIXED_NUM_COLUMNS |==> false
9:COR:&&(boolean,boolean):LHS(boolean,boolean):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):77:mode != FIXED_NUM_ROWS && mode != FIXED_NUM_COLUMNS |==> mode != FIXED_NUM_ROWS
10:COR:&&(boolean,boolean):RHS(boolean,boolean):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):77:mode != FIXED_NUM_ROWS && mode != FIXED_NUM_COLUMNS |==> mode != FIXED_NUM_COLUMNS
11:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):80:0 |==> 1
12:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):80:0 |==> -1
13:ROR:<=(int,int):<(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):80:size <= 0 |==> size < 0
14:ROR:<=(int,int):==(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):80:size <= 0 |==> size == 0
