1:LVR:TRUE:FALSE:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):33:true |==> false
2:EVR:<NEW_CLASS(javax.swing.JPanel)>:<DEFAULT>:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):35:new JPanel(new BorderLayout()) |==> null
3:LVR:POS:0:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):36:12 |==> 0
4:LVR:POS:NEG:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):36:12 |==> -12
5:LVR:POS:0:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):36:12 |==> 0
6:LVR:POS:NEG:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):36:12 |==> -12
7:LVR:POS:0:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):36:12 |==> 0
8:LVR:POS:NEG:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):36:12 |==> -12
9:LVR:POS:0:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):36:12 |==> 0
10:LVR:POS:NEG:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):36:12 |==> -12
11:STD:<CALL>:<NO-OP>:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):36:content.setBorder(new EmptyBorder(12, 12, 12, 12)) |==> <NO-OP>
12:STD:<CALL>:<NO-OP>:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):37:setContentPane(content) |==> <NO-OP>
13:EVR:<NEW_CLASS(javax.swing.JPanel)>:<DEFAULT>:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):39:new JPanel(new BorderLayout()) |==> null
14:LVR:0:POS:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):40:0 |==> 1
15:LVR:0:NEG:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):40:0 |==> -1
16:LVR:POS:0:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):40:12 |==> 0
17:LVR:POS:NEG:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):40:12 |==> -12
18:LVR:0:POS:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):40:0 |==> 1
19:LVR:0:NEG:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):40:0 |==> -1
20:LVR:0:POS:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):40:0 |==> 1
21:LVR:0:NEG:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):40:0 |==> -1
22:STD:<CALL>:<NO-OP>:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):40:panel.setBorder(new EmptyBorder(0, 12, 0, 0)) |==> <NO-OP>
23:EVR:<NEW_CLASS(javax.swing.JLabel)>:<DEFAULT>:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):42:new JLabel(jEdit.getProperty("view-registers.register")) |==> null
24:LVR:0:POS:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):43:0 |==> 1
25:LVR:0:NEG:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):43:0 |==> -1
26:LVR:0:POS:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):43:0 |==> 1
27:LVR:0:NEG:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):43:0 |==> -1
28:LVR:POS:0:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):43:3 |==> 0
29:LVR:POS:NEG:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):43:3 |==> -3
30:LVR:0:POS:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):43:0 |==> 1
31:LVR:0:NEG:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):43:0 |==> -1
32:STD:<CALL>:<NO-OP>:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):43:label.setBorder(new EmptyBorder(0, 0, 3, 0)) |==> <NO-OP>
33:STD:<CALL>:<NO-OP>:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):44:panel.add(BorderLayout.NORTH, label) |==> <NO-OP>
34:EVR:<NEW_CLASS(javax.swing.DefaultListModel)>:<DEFAULT>:org.gjt.sp.jedit.gui.ViewRegisters@<init>(View):46:new DefaultListModel() |==> null
