1:EVR:<NEW_CLASS(java.util.ArrayList)>:<DEFAULT>:org.apache.poi.hssf.model.WorkbookRecordList:66:new ArrayList() |==> null
2:LVR:0:POS:org.apache.poi.hssf.model.WorkbookRecordList:68:0 |==> 1
3:LVR:0:NEG:org.apache.poi.hssf.model.WorkbookRecordList:68:0 |==> -1
4:LVR:0:POS:org.apache.poi.hssf.model.WorkbookRecordList:69:0 |==> 1
5:LVR:0:NEG:org.apache.poi.hssf.model.WorkbookRecordList:69:0 |==> -1
6:LVR:0:POS:org.apache.poi.hssf.model.WorkbookRecordList:70:0 |==> 1
7:LVR:0:NEG:org.apache.poi.hssf.model.WorkbookRecordList:70:0 |==> -1
8:LVR:0:POS:org.apache.poi.hssf.model.WorkbookRecordList:71:0 |==> 1
9:LVR:0:NEG:org.apache.poi.hssf.model.WorkbookRecordList:71:0 |==> -1
10:LVR:0:POS:org.apache.poi.hssf.model.WorkbookRecordList:72:0 |==> 1
11:LVR:0:NEG:org.apache.poi.hssf.model.WorkbookRecordList:72:0 |==> -1
12:LVR:0:POS:org.apache.poi.hssf.model.WorkbookRecordList:73:0 |==> 1
13:LVR:0:NEG:org.apache.poi.hssf.model.WorkbookRecordList:73:0 |==> -1
14:LVR:0:POS:org.apache.poi.hssf.model.WorkbookRecordList:74:0 |==> 1
15:LVR:0:NEG:org.apache.poi.hssf.model.WorkbookRecordList:74:0 |==> -1
16:LVR:0:POS:org.apache.poi.hssf.model.WorkbookRecordList:75:0 |==> 1
17:LVR:0:NEG:org.apache.poi.hssf.model.WorkbookRecordList:75:0 |==> -1
18:LVR:0:POS:org.apache.poi.hssf.model.WorkbookRecordList:76:0 |==> 1
19:LVR:0:NEG:org.apache.poi.hssf.model.WorkbookRecordList:76:0 |==> -1
20:LVR:NEG:0:org.apache.poi.hssf.model.WorkbookRecordList:77:-1 |==> 0
21:LVR:NEG:POS:org.apache.poi.hssf.model.WorkbookRecordList:77:-1 |==> 1
